hospital_indicator,observed_rate_2015,expected_rate_2015,SMR_2015,number_of_cases_2015
HUG A Maladies cardiaques, , , , 
HUG A.1 Infarctus du myocarde, , , , 
HUG A.1.1.M,0.06,0.052,1.1,550
HUG A.1.2.M,0,0.011,0,51
HUG A.1.3.M,0.028,0.018,1.5,218
HUG A.1.4.M,0.065,0.052,1.3,214
HUG A.1.5.M,0.194,0.195,1,67
HUG A.1.6.P,0.84,0.629,,462
HUG A.1.7.M,0.056,0.065,0.9,466
HUG A.1.8.M,0.109,0.046,2.4,64
HUG A.1.9.P,,,,5
HUG A.1.10.M,0.087,0.065,1.3,218
HUG A.1.11.M,0.043,0.038,1.1,326
HUG A.2 Insuffisance cardiaque, , , , 
HUG A.2.1.M,0.087,0.092,0.9,1'331
HUG A.2.2.M,0.091,0.03,3.1,11
HUG A.2.3.M,0.019,0.034,0.6,106
HUG A.2.4.M,0.053,0.071,0.7,587
HUG A.2.5.M,0.131,0.123,1.1,627
HUG A.2.6.P,0.518,0.552,,259
HUG A.3 CathEtErisme cardiaque, , , , 
HUG A.3.1.F,,,,1'086
HUG A.3.2.M,0.014,0.029,0.5,435
HUG A.3.4.M,0.038,0.014,2.8,345
HUG A.3.7.M,0.035,0.012,2.9,311
HUG A.3.5.M,0.022,0.012,1.8,138
HUG A.3.5.P,0.274,0.385,,138
HUG A.3.8.M,0.024,0.009,2.7,125
HUG A.3.6.F,,,,36
HUG A.4 Troubles du rythme cardiaque, , , , 
HUG A.4.1.F,,,,658
HUG A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG A.5.1.F,,,,228
HUG A.5.2.F,,,,45
HUG A.6 Traitement par ablation, , , , 
HUG A.6.1.F,,,,229
HUG A.6.2.F,,,,13
HUG A.7 OpErations du cúur, , , , 
HUG A.7.1.F,,,,469
HUG A.7.2.F,,,,225
HUG A.7.3.F,,,,93
HUG A.7.4.F,,,,250
HUG A.7.5.F,,,,91
HUG A.7.6.F,,,,155
HUG A.7.7.M,0.045,0.019,2.4,22
HUG A.7.19.M,,,,1
HUG A.7.20.M,0.048,0.017,2.9,21
HUG A.7.8.M,0.034,0.031,1.1,58
HUG A.7.9.M,0.035,0.03,1.2,57
HUG A.7.10.M,,,,0
HUG A.7.23.M,,,,8
HUG A.7.11.M,0.154,0.037,4.1,13
HUG A.7.12.M,0.018,0.013,1.4,55
HUG A.7.13.M,,,,3
HUG A.7.14.M,0,0.008,0,11
HUG A.7.15.M,0.043,0.008,5.7,23
HUG A.7.16.M,0,0.015,0,14
HUG A.7.17.M,,,,4
HUG A.7.18.P,0.255,0.089,,14
HUG A.7.21.P,0,0.001,,0
HUG A.7.22.P,0,0.01,,0
"HUG B Maladies du systËme nerveux, accident vasculaire cErEbral (attaque cErEbrale)", , , , 
HUG B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG B.1.1.M,0.091,0.092,1,1'161
HUG B.1.2.M,0.049,0.036,1.4,82
HUG B.1.3.M,0.065,0.041,1.6,263
HUG B.1.4.M,0.096,0.09,1.1,585
HUG B.1.5.M,0.126,0.173,0.7,231
HUG B.1.6.P,0.422,0.357,,490
HUG B.1.7.M,0.059,0.065,0.9,886
HUG B.1.8.M,0.049,0.062,0.8,654
HUG B.1.13.M,0.086,0.071,1.2,232
HUG B.1.9.M,0.048,0.086,0.6,42
HUG B.1.9.P,0.047,0.097,,42
HUG B.1.14.M,0.235,0.246,1,85
HUG B.1.14.P,0.096,0.082,,85
HUG B.1.10.M,0.181,0.231,0.8,182
HUG B.1.11.M,0.231,0.139,1.7,91
HUG B.1.12.M,,,,2
HUG B.1.12.P,,,,2
HUG B.2 Accident ischEmique transitoire (AIT), , , , 
HUG B.2.1.M,0.005,0.003,1.8,213
HUG B.2.2.P,0.291,0.269,,62
HUG B.3 Tumeurs malignes de l'encEphale ou des mEninges cErEbrales, , , , 
HUG B.3.1.F,,,,128
HUG B.3.2.M,0.043,0.008,5.1,46
HUG B.4 Epilepsie, , , , 
HUG B.4.1.F,,,,335
HUG B.4.2.F,,,,65
HUG B.5 SclErose en plaques, , , , 
HUG B.5.1.F,,,,40
HUG C REEducation gEriatrique prEcoce, , , , 
HUG C.1 REEducation gEriatrique prEcoce, , , , 
HUG C.1.1.F,,,,37
HUG C.1.2.P,0,0.712,,0
HUG C.1.3.S,,,,0
HUG D Maladies pulmonaires, , , , 
HUG D.1 Pneumonie, , , , 
HUG D.1.1.M,0.034,0.057,0.6,1'276
HUG D.1.2.M,0,0.003,0,69
HUG D.1.3.M,0.032,0.008,3.8,63
HUG D.1.4.M,0.024,0.024,1,164
HUG D.1.5.M,0.033,0.05,0.7,551
HUG D.1.6.M,0.047,0.095,0.5,429
HUG D.1.7.M,0,0.002,0,58
HUG D.1.8.M,0.023,0.053,0.4,863
HUG D.1.9.M,0.039,0.006,6.8,51
HUG D.1.10.M,0.008,0.01,0.8,124
HUG D.1.11.M,0.011,0.039,0.3,371
HUG D.1.12.M,0.041,0.094,0.4,317
HUG D.2 Broncho≠pneumopathie chronique obstructive (BPCO), , , , 
HUG D.2.1.M,0.024,0.039,0.6,377
HUG D.2.2.M,0.067,0.063,1.1,89
HUG D.2.3.M,0.009,0.028,0.3,111
HUG D.2.4.M,0.035,0.019,1.9,57
HUG D.2.5.M,0,0.017,0,14
HUG D.2.6.M,0,0.036,0,106
HUG D.2.6.P,0.281,0.241,,106
HUG D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG D.3.1.F,,,,468
HUG D.4 OpErations du poumon, , , , 
HUG D.4.1.M,0.019,0.016,1.2,154
HUG D.4.2.M,,,,3
HUG D.4.2.P,,,,3
HUG D.4.3.M,0.014,0.01,1.3,71
HUG D.4.4.P,,,,1
HUG D.4.5.M,0,0.085,0,19
HUG E Maladies des organes abdominaux, , , , 
HUG E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG E.1.1.M,0,0.002,0,487
HUG E.1.2.P,0.945,0.958,,460
HUG E.2 REparations de hernie, , , , 
HUG E.2.1.M,0.002,0.001,1.7,508
HUG E.2.2.M,0,0.032,0,14
HUG E.2.3.P,,,,3
HUG E.2.4.P,0.888,0.948,,261
HUG E.3 OpErations de la thyroÔde, , , , 
HUG E.3.1.F,,,,291
HUG E.3.2.P,,,,2
HUG E.3.3.F,,,,71
HUG E.4 Maladies du cÙlon et du rectum, , , , 
HUG E.4.11.F,,,,267
HUG E.4.12.F,,,,208
HUG E.4.1.M,0.032,0.044,0.7,282
HUG E.4.2.M,0,0.024,0,73
HUG E.4.3.M,0.182,0.067,2.7,11
HUG E.4.4.M,0,0.017,0,37
HUG E.4.5.M,0,0,,29
HUG E.4.6.M,0.071,0.061,1.2,28
HUG E.4.7.M,0.118,0.261,0.5,17
HUG E.4.13.M,0,0.009,0,22
HUG E.4.8.M,0.044,0.066,0.7,68
HUG E.4.14.P,,,,5
HUG E.4.15.M,,,,6
HUG E.4.15.P,,,,6
HUG E.5 Maladies de líestomac, , , , 
HUG E.5.4.F,,,,106
HUG E.5.5.M,0.029,0.03,1,103
HUG E.5.1.F,,,,39
HUG E.5.2.M,0,0.056,0,10
HUG E.5.3.M,,,,6
HUG E.5.6.M,0,0.064,0,23
HUG E.6 OpErations de líúsophage, , , , 
HUG E.6.1.M,,,,9
HUG E.7 OpErations du pancrEas, , , , 
HUG E.7.1.M,0,0.048,0,68
HUG E.7.2.M,0,0.039,0,36
HUG E.8 Chirurgie bariatrique, , , , 
HUG E.8.1.M,0,0.001,0,68
HUG F Affections des vaisseaux, , , , 
HUG F.1 OpErations des artËres cErEbrales, , , , 
HUG F.1.1.M,0,0.004,0,38
HUG F.1.2.M,0.038,0.048,0.8,26
HUG F.1.3.F,,,,3
HUG F.1.4.F,,,,126
HUG F.2 Maladies de líaorte, , , , 
HUG F.2.1.F,,,,62
HUG F.2.7.F,,,,35
HUG F.2.2.M,,,,7
HUG F.2.3.M,0.045,0.007,6.8,22
HUG F.2.8.M,,,,1
HUG F.2.9.M,,,,3
HUG F.2.4.F,,,,25
HUG F.2.10.M,,,,9
HUG F.2.11.M,0.083,0.038,2.2,12
HUG F.2.12.M,,,,2
HUG F.2.5.M,0.4,0.414,1,20
HUG F.2.6.M,,,,6
HUG F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG F.3.1.M,0.047,0.035,1.3,86
HUG F.3.2.M,0.062,0.009,7.2,16
HUG F.3.3.M,,,,4
