hospital_name,indicator,observed_rate_2016,expected_rate_2016,SMR_2016,number_of_cases_2016
HUG,A Maladies cardiaques, , , , 
HUG,A.1 Infarctus du myocarde, , , , 
HUG,A.1.1.M,0.046,0.05,0.9,549
HUG,A.1.2.M,0,0.012,0,30
HUG,A.1.3.M,0.022,0.017,1.3,224
HUG,A.1.4.M,0.045,0.054,0.8,220
HUG,A.1.5.M,0.133,0.152,0.9,75
HUG,A.1.6.P,0.858,0.632,,471
HUG,A.1.7.M,0.05,0.065,0.8,477
HUG,A.1.8.M,0.019,0.037,0.5,53
HUG,A.1.9.P,,,,6
HUG,A.1.10.M,0.043,0.064,0.7,234
HUG,A.1.11.M,0.046,0.034,1.4,306
HUG,A.2 Insuffisance cardiaque, , , , 
HUG,A.2.1.M,0.075,0.086,0.9,1'281
HUG,A.2.2.M,0,0.006,0,14
HUG,A.2.3.M,0.032,0.036,0.9,94
HUG,A.2.4.M,0.062,0.066,0.9,564
HUG,A.2.5.M,0.095,0.113,0.8,609
HUG,A.2.6.P,0.626,0.568,,286
HUG,A.3 CathEtErisme cardiaque, , , , 
HUG,A.3.1.F,,,,1'098
HUG,A.3.2.M,0.016,0.027,0.6,445
HUG,A.3.4.M,0.049,0.016,3.1,365
HUG,A.3.7.M,0.045,0.015,3,331
HUG,A.3.5.M,0.023,0.014,1.7,128
HUG,A.3.5.P,0.25,0.401,,128
HUG,A.3.8.M,0.009,0.011,0.8,111
HUG,A.3.6.F,,,,36
HUG,A.4 Troubles du rythme cardiaque, , , , 
HUG,A.4.1.F,,,,664
HUG,A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG,A.5.1.F,,,,216
HUG,A.5.2.F,,,,28
HUG,A.6 Traitement par ablation, , , , 
HUG,A.6.1.F,,,,220
HUG,A.6.2.F,,,,7
HUG,A.7 OpErations du cúur, , , , 
HUG,A.7.1.F,,,,466
HUG,A.7.2.F,,,,224
HUG,A.7.3.F,,,,72
HUG,A.7.4.F,,,,253
HUG,A.7.5.F,,,,80
HUG,A.7.6.F,,,,182
HUG,A.7.7.M,0,0.021,0,27
HUG,A.7.19.M,,,,4
HUG,A.7.20.M,0,0.006,0,23
HUG,A.7.8.M,0,0.033,0,59
HUG,A.7.9.M,0,0.033,0,57
HUG,A.7.10.M,,,,2
HUG,A.7.23.M,0.067,0.006,12.1,15
HUG,A.7.11.M,0,0.028,0,10
HUG,A.7.12.M,0.027,0.018,1.5,37
HUG,A.7.13.M,,,,1
HUG,A.7.14.M,0,0.005,0,11
HUG,A.7.15.M,0,0.015,0,12
HUG,A.7.16.M,0.1,0.024,4.2,10
HUG,A.7.17.M,,,,3
HUG,A.7.18.P,,,,7
HUG,A.7.21.P,0,0.002,,0
HUG,A.7.22.P,0,0.011,,0
HUG,"B Maladies du systËme nerveux, accident vasculaire cErEbral (attaque cErEbrale)", , , , 
HUG,B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG,B.1.1.M,0.076,0.087,0.9,1'233
HUG,B.1.2.M,0.045,0.029,1.6,89
HUG,B.1.3.M,0.031,0.039,0.8,262
HUG,B.1.4.M,0.073,0.078,0.9,575
HUG,B.1.5.M,0.13,0.16,0.8,307
HUG,B.1.6.P,0.455,0.412,,561
HUG,B.1.7.M,0.055,0.062,0.9,996
HUG,B.1.8.M,0.06,0.064,0.9,773
HUG,B.1.13.M,0.04,0.054,0.7,223
HUG,B.1.9.M,0.067,0.087,0.8,90
HUG,B.1.9.P,0.09,0.107,,90
HUG,B.1.14.M,0.216,0.208,1,97
HUG,B.1.14.P,0.097,0.079,,97
HUG,B.1.10.M,0.199,0.224,0.9,161
HUG,B.1.11.M,0.095,0.143,0.7,74
HUG,B.1.12.M,,,,2
HUG,B.1.12.P,,,,2
HUG,B.2 Accident ischEmique transitoire (AIT), , , , 
HUG,B.2.1.M,0,0,0,250
HUG,B.2.2.P,0.464,0.328,,116
HUG,B.3 Tumeurs malignes de l'encEphale ou des mEninges cErEbrales, , , , 
HUG,B.3.1.F,,,,142
HUG,B.3.2.M,0,0.02,0,40
HUG,B.4 Epilepsie, , , , 
HUG,B.4.1.F,,,,349
HUG,B.4.2.F,,,,61
HUG,B.5 SclErose en plaques, , , , 
HUG,B.5.1.F,,,,61
HUG,C REEducation gEriatrique prEcoce, , , , 
HUG,C.1 REEducation gEriatrique prEcoce, , , , 
HUG,C.1.1.F,,,,251
HUG,C.1.2.P,0,0.68,,0
HUG,C.1.3.S,,,,0
HUG,D Maladies pulmonaires, , , , 
HUG,D.1 Pneumonie, , , , 
HUG,D.1.1.M,0.036,0.051,0.7,1'249
HUG,D.1.2.M,0,0.001,0,95
HUG,D.1.3.M,0,0.004,0,90
HUG,D.1.4.M,0.005,0.018,0.3,199
HUG,D.1.5.M,0.035,0.045,0.8,487
HUG,D.1.6.M,0.071,0.099,0.7,378
HUG,D.1.7.M,0,0.001,0,79
HUG,D.1.8.M,0.027,0.048,0.6,873
HUG,D.1.9.M,0,0.004,0,74
HUG,D.1.10.M,0,0.008,0,151
HUG,D.1.11.M,0.024,0.034,0.7,339
HUG,D.1.12.M,0.052,0.094,0.6,309
HUG,D.2 Broncho≠pneumopathie chronique obstructive (BPCO), , , , 
HUG,D.2.1.M,0.024,0.036,0.7,382
HUG,D.2.2.M,0.019,0.054,0.4,103
HUG,D.2.3.M,0.029,0.031,0.9,104
HUG,D.2.4.M,0.017,0.017,1,58
HUG,D.2.5.M,0.042,0.017,2.5,24
HUG,D.2.6.M,0.022,0.034,0.6,93
HUG,D.2.6.P,0.243,0.209,,93
HUG,D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG,D.3.1.F,,,,515
HUG,D.4 OpErations du poumon, , , , 
HUG,D.4.1.M,0.029,0.018,1.6,136
HUG,D.4.2.M,,,,3
HUG,D.4.2.P,,,,3
HUG,D.4.3.M,0.055,0.018,3.1,73
HUG,D.4.4.P,,,,2
HUG,D.4.5.M,0.048,0.04,1.2,21
HUG,E Maladies des organes abdominaux, , , , 
HUG,E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG,E.1.1.M,0,0.002,0,537
HUG,E.1.2.P,0.957,0.962,,514
HUG,E.2 REparations de hernie, , , , 
HUG,E.2.1.M,0,0.001,0,519
HUG,E.2.2.M,0,0.078,0,13
HUG,E.2.3.P,,,,3
HUG,E.2.4.P,0.884,0.953,,268
HUG,E.3 OpErations de la thyroÔde, , , , 
HUG,E.3.1.F,,,,266
HUG,E.3.2.P,,,,2
HUG,E.3.3.F,,,,61
HUG,E.4 Maladies du cÙlon et du rectum, , , , 
HUG,E.4.11.F,,,,299
HUG,E.4.12.F,,,,189
HUG,E.4.1.M,0.027,0.045,0.6,291
HUG,E.4.2.M,0,0.022,0,80
HUG,E.4.3.M,0,0.047,0,13
HUG,E.4.4.M,0.024,0.024,1,41
HUG,E.4.5.M,0,0,,32
HUG,E.4.6.M,0.032,0.04,0.8,31
HUG,E.4.7.M,0.188,0.302,0.6,16
HUG,E.4.13.M,0,0.007,0,18
HUG,E.4.8.M,0.05,0.06,0.8,60
HUG,E.4.14.P,,,,3
HUG,E.4.15.M,,,,8
HUG,E.4.15.P,,,,8
HUG,E.5 Maladies de l'estomac, , , , 
HUG,E.5.4.F,,,,129
HUG,E.5.5.M,0.008,0.037,0.2,124
HUG,E.5.1.F,,,,45
HUG,E.5.2.M,0.056,0.033,1.7,18
HUG,E.5.3.M,,,,5
HUG,E.5.6.M,0,0.042,0,22
HUG,E.6 OpErations de l'úsophage, , , , 
HUG,E.6.1.M,0.091,0.021,4.3,11
HUG,E.7 OpErations du pancrEas, , , , 
HUG,E.7.1.M,0,0.046,0,63
HUG,E.7.2.M,0,0.044,0,32
HUG,E.8 Chirurgie bariatrique, , , , 
HUG,E.8.1.M,0,0,0,116
HUG,F Affections des vaisseaux, , , , 
HUG,F.1 OpErations des artËres cErEbrales, , , , 
HUG,F.1.1.M,0,0.004,0,59
HUG,F.1.2.M,0,0.051,0,31
HUG,F.1.3.F,,,,0
HUG,F.1.4.F,,,,100
HUG,F.2 Maladies de l'aorte, , , , 
HUG,F.2.1.F,,,,68
HUG,F.2.7.F,,,,35
HUG,F.2.2.M,,,,4
HUG,F.2.3.M,0,0.031,0,20
HUG,F.2.8.M,,,,0
HUG,F.2.9.M,,,,5
HUG,F.2.4.F,,,,27
HUG,F.2.10.M,,,,9
