hospital_indicator,observed_rate_2018,expected_rate_2018,SMR_2018,number_of_cases_2018
HUG A Maladies cardiaques, , , , 
HUG A.1 Infarctus du myocarde, , , , 
HUG A.1.1.M,0.047,0.051,0.9,595
HUG A.1.2.M,0,0.011,0,30
HUG A.1.3.M,0,0.017,0,207
HUG A.1.4.M,0.06,0.047,1.3,248
HUG A.1.5.M,0.118,0.134,0.9,110
HUG A.1.7.M,0.051,0.067,0.8,545
HUG A.1.8.M,0,0.033,0,27
HUG A.1.14.P,0.869,0.64,,517
HUG A.1.15.P,0.864,0.604,,491
HUG A.1.16.P,0.963,0.761,,26
HUG A.1.17.P,0.868,0.608,,493
HUG A.1.9.P,,,,3
HUG A.1.10.M,0.043,0.07,0.6,257
HUG A.1.10.P,0.432,0.406,,257
HUG A.1.11.M,0.048,0.032,1.5,333
HUG A.1.13.M,0.156,0.137,1.1,205
HUG A.2 Insuffisance cardiaque, , , , 
HUG A.2.1.M,0.066,0.082,0.8,1'250
HUG A.2.2.M,,,,9
HUG A.2.3.M,0.009,0.025,0.4,113
HUG A.2.4.M,0.036,0.065,0.6,550
HUG A.2.5.M,0.106,0.11,1,578
HUG A.2.6.P,0.624,0.563,,334
HUG A.3 CathEtErisme cardiaque, , , , 
HUG A.3.1.F,,,,1'240
HUG A.3.2.M,0.029,0.025,1.2,487
HUG A.3.4.M,0.025,0.015,1.6,443
HUG A.3.7.M,0.024,0.013,1.9,413
HUG A.3.5.M,0.026,0.009,2.9,153
HUG A.3.5.P,0.25,0.451,,153
HUG A.3.8.M,0.021,0.007,2.8,142
HUG A.3.6.F,,,,36
HUG A.4 Troubles du rythme cardiaque, , , , 
HUG A.4.1.F,,,,589
HUG A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG A.5.1.F,,,,189
HUG A.5.2.F,,,,39
HUG A.6 Traitement par ablation, , , , 
HUG A.6.1.F,,,,225
HUG A.6.2.F,,,,21
HUG A.7 OpErations du cúur, , , , 
HUG A.7.1.F,,,,495
HUG A.7.2.F,,,,257
HUG A.7.3.F,,,,108
HUG A.7.4.F,,,,248
HUG A.7.5.F,,,,109
HUG A.7.6.F,,,,169
HUG A.7.24.F,,,,50
HUG A.7.7.M,0,0.024,0,18
HUG A.7.19.M,,,,3
HUG A.7.20.M,0,0.004,0,15
HUG A.7.25.M,0,0.021,0,18
HUG A.7.26.M,,,,3
HUG A.7.27.M,0.034,0.053,0.6,29
HUG A.7.8.M,0.031,0.029,1,65
HUG A.7.9.M,0.031,0.029,1.1,65
HUG A.7.10.M,,,,0
HUG A.7.23.M,0.105,0.019,5.6,19
HUG A.7.11.M,0.12,0.027,4.4,25
HUG A.7.28.M,0.091,0.015,5.9,22
HUG A.7.12.M,0,0.011,0,46
HUG A.7.13.M,,,,4
HUG A.7.14.M,0,0.008,0,11
HUG A.7.15.M,0,0.009,0,20
HUG A.7.16.M,0,0.011,0,10
HUG A.7.17.M,,,,1
"HUG A.7.29.M OP des vaisseaux coronaires avec autre OP du cúur (‚ge >19), mortalitE",0.094,0.074,1.3,32
HUG A.7.18.P,,,,8
HUG A.7.21.P,0,0.004,,0
HUG A.7.22.P,0,0.009,,0
"HUG B Maladies du systËme nerveux, accident vasculaire cErEbral (attaque cErEbrale)", , , , 
HUG B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG B.1.1.M,0.077,0.082,0.9,1'213
HUG B.1.2.M,0,0.026,0,55
HUG B.1.3.M,0.056,0.037,1.5,270
HUG B.1.4.M,0.071,0.074,1,593
HUG B.1.5.M,0.125,0.15,0.8,295
"HUG B.1.19.P DP accident vasculaire cErEbral (‚ge >19) avec traitement en unitE cErEbro≠vasculaire, admissions directes, pourcentage",0.563,0.426,,672
"HUG B.1.20.P DP accident vasculaire cErEbral (‚ge >19) avec traitement en unitE cErEbro≠vasculaire, transfErE d'un autre hÙpital, pourcentage",0.684,0.431,,13
HUG B.1.7.M,0.058,0.058,1,987
HUG B.1.8.M,0.057,0.057,1,974
HUG B.1.13.M,0.077,0.057,1.3,13
HUG B.1.16.P,0.078,0.033,,76
HUG B.1.17.P,,,,1
HUG B.1.9.M,0.07,0.073,1,128
HUG B.1.9.P,0.13,0.118,,128
HUG B.1.18.M,0.076,0.128,0.6,92
HUG B.1.18.P,0.093,0.068,,92
HUG B.1.14.M,0.312,0.228,1.4,64
HUG B.1.14.P,0.065,0.068,,64
HUG B.1.10.M,0.166,0.238,0.7,145
HUG B.1.11.M,0.16,0.152,1.1,81
HUG B.1.12.M,,,,0
HUG B.1.12.P,0,0.042,,0
HUG B.2 Accident ischEmique transitoire (AIT), , , , 
HUG B.2.1.M,0,0.004,0,189
HUG B.2.2.P,0.772,0.358,,146
HUG B.3 Tumeurs malignes de l'encEphale ou des mEninges cErEbrales, , , , 
HUG B.3.1.F,,,,129
HUG B.3.2.M,0,0.013,0,33
HUG B.4 Epilepsie, , , , 
HUG B.4.1.F,,,,278
HUG B.4.2.F,,,,48
HUG B.5 SclErose en plaques, , , , 
HUG B.5.1.F,,,,41
HUG C MEdecine gEriatrique, , , , 
HUG C.1 REEducation gEriatrique prEcoce, , , , 
HUG C.1.1.F,,,,310
HUG C.1.2.P,0,0.71,,0
HUG C.1.3.S,,,,0
HUG C.1.4.P,0.939,0.186,,291
HUG C.1.5.S,48.8,,,291
HUG C.2 Malnutrition des personnes ‚gEes, , , , 
HUG C.2.1.P,0.031,0.021,,625
HUG C.2.2.P,0.141,0.098,,88
HUG D Maladies pulmonaires, , , , 
HUG D.1 Pneumonie, , , , 
HUG D.1.1.M,0.059,0.06,1,1'572
HUG D.1.2.M,0,0.004,0,85
HUG D.1.3.M,0,0.004,0,98
HUG D.1.4.M,0.015,0.024,0.6,205
HUG D.1.5.M,0.062,0.053,1.2,662
HUG D.1.6.M,0.094,0.102,0.9,522
HUG D.1.7.M,0,0.002,0,67
HUG D.1.8.M,0.037,0.046,0.8,1'101
HUG D.1.9.M,0,0.001,0,74
HUG D.1.10.M,0.02,0.009,2.2,152
HUG D.1.11.M,0.029,0.035,0.8,480
HUG D.1.12.M,0.061,0.083,0.7,395
HUG D.1.13.M,0.2,0.171,1.2,175
HUG D.2 Broncho≠pneumopathie chronique obstructive (BPCO), , , , 
HUG D.2.1.M,0.035,0.036,1,434
HUG D.2.2.M,0.037,0.049,0.7,136
HUG D.2.3.M,0.039,0.029,1.3,103
HUG D.2.4.M,0.014,0.029,0.5,71
HUG D.2.5.M,0.059,0.043,1.4,17
HUG D.2.6.M,0.037,0.041,0.9,107
HUG D.2.6.P,0.247,0.205,,107
HUG D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG D.3.1.F,,,,409
HUG D.4 OpErations du poumon, , , , 
HUG D.4.1.M,0.022,0.02,1.1,139
HUG D.4.2.M,,,,4
HUG D.4.2.P,,,,4
HUG D.4.3.M,0.027,0.023,1.2,75
HUG D.4.4.P,,,,2
HUG D.4.5.M,0.059,0.041,1.4,17
HUG E Maladies des organes abdominaux, , , , 
HUG E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG E.1.1.M,0,0.002,0,437
HUG E.1.2.P,0.963,0.969,,421
HUG E.2 REparations de hernie, , , , 
HUG E.2.1.M,0.004,0.001,3,522
HUG E.2.2.M,0,0.028,0,27
HUG E.2.3.P,,,,3
HUG E.2.4.P,0.954,0.981,,267
HUG E.3 OpErations de la thyroÔde, , , , 
HUG E.3.1.F,,,,248
HUG E.3.2.P,0,0.003,,0
HUG E.3.4.F,,,,70
HUG E.3.5.F,,,,162
HUG E.3.3.F,,,,46
HUG E.4 Maladies du cÙlon et du rectum, , , , 
HUG E.4.11.F,,,,325
HUG E.4.12.F,,,,217
HUG E.4.1.M,0.037,0.039,0.9,295
HUG E.4.2.M,0,0.017,0,87
HUG E.4.3.M,0.059,0.079,0.7,17
HUG E.4.4.M,0,0.019,0,25
HUG E.4.5.M,0,0,,28
HUG E.4.6.M,0.031,0.059,0.5,32
HUG E.4.7.M,,,,8
HUG E.4.13.M,0,0.006,0,16
HUG E.4.8.M,0.074,0.061,1.2,81
HUG E.4.14.P,,,,5
HUG E.4.15.M,0,0.083,0,10
HUG E.4.15.P,0.054,0.053,,10
HUG E.4.16.M,,,,1
HUG E.4.16.P,,,,1
HUG E.5 Maladies de l'estomac, , , , 
HUG E.5.4.F,,,,91
HUG E.5.5.M,0.065,0.045,1.4,124
HUG E.5.1.F,,,,152
