,Nom_df1,Nom_df2
0,"Les HÙpitaux Universitaires de GenËve HUG - HUG - Soins aigus, Rue Gabrielle-Perret-Gentil 4, 1205 GenËve",Les Hôpitaux Universitaires de Genève HUG
1,"Les HÙpitaux Universitaires de GenËve HUG - HUG - Soins psychiatriques, Rue Gabrielle-Perret-Gentil 4, 1205 GenËve",Les Hôpitaux Universitaires de Genève HUG
2,"Les HÙpitaux Universitaires de GenËve HUG - HUG - Soins subaigus et continus, Rue Gabrielle-Perret-Gentil 4, 1205 GenËve",Les Hôpitaux Universitaires de Genève HUG
3,Institution,Institution de Lavigny
4,"Insel Gruppe AG (universit‰r) - Inselspital, Freiburgstrasse 18, 3010 Bern",Insel Gruppe AG (universitär)
5,"CHUV Centre Hospitalier Universitaire Vaudois - Centre Hospitalier Universitaire Vaudois, Rue du Bugnon 21, 1011 Lausanne",CHUV Centre Hospitalier Universitaire Vaudois
6,"CHUV Centre Hospitalier Universitaire Vaudois - Psychiatrie Nord CPNVD, Avenue des Sports 12B, 1400 Yverdon-les-Bains",CHUV Centre Hospitalier Universitaire Vaudois
7,"CHUV Centre Hospitalier Universitaire Vaudois - Psychiatrie Ouest HÙpital de Prangins, Chemin Oscar Forel 3, 1197 Prangins",CHUV Centre Hospitalier Universitaire Vaudois
8,"Luzerner Kantonsspital - LUKS Luzern, Spitalstrasse, 6000 Luzern 16",Luzerner Kantonsspital
9,"Luzerner Kantonsspital - LUKS Sursee, Spitalstrasse 16A, 6210 Sursee",Luzerner Kantonsspital
10,"Luzerner Kantonsspital - LUKS Wolhusen, Spitalstrasse, 6110 Wolhusen",Luzerner Kantonsspital
11,"EOC Ente ospedaliero cantonale - Ospedale Regionale di Lugano, Via Tesserete 46, 6900 Lugano",EOC Ente ospedaliero cantonale
12,"EOC Ente ospedaliero cantonale - Ospedale Regionale San Giovanni, Via Ospedale 12, 6500 Bellinzona",EOC Ente ospedaliero cantonale
13,"EOC Ente ospedaliero cantonale - Ospedale Regionale La Carit‡, Via dell'Ospedale 1, 6600 Locarno",EOC Ente ospedaliero cantonale
14,"EOC Ente ospedaliero cantonale - Ospedale Regionale Beata Vergine, via Alfonso Turconi 23, 6850 Mendrisio",EOC Ente ospedaliero cantonale
15,"EOC Ente ospedaliero cantonale - Ospedale Regionale Faido, Via Ospedale 32, 6760 Faido",EOC Ente ospedaliero cantonale
16,"EOC Ente ospedaliero cantonale - Ospedale Regionale Acquarossa, Corzoneso Piano, 6716 Acquarossa",EOC Ente ospedaliero cantonale
17,"EOC Ente ospedaliero cantonale - Clinica Riabilitazione EOC Sede di Novaggio, , 6986 Novaggio",EOC Ente ospedaliero cantonale
18,"Kantonsspital St. Gallen - Kantonsspital St. Gallen, Rorschacher Strasse 95, 9007 St. Gallen",Kantonsspital St. Gallen
19,"Kantonsspital St. Gallen - Spital Rorschach, Heidener Strasse 11, 9400 Rorschach",Kantonsspital St. Gallen
20,"Kantonsspital St. Gallen - Spital Flawil, Krankenhausstrasse 23, 9230 Flawil",Kantonsspital St. Gallen
