hospital_name,indicator,observed_rate_2017,expected_rate_2017,SMR_2017,number_of_cases_2017
HUG,A Maladies cardiaques, , , , 
HUG,A.1 Infarctus du myocarde, , , , 
HUG,A.1.1.M,0.051,0.058,0.9,602
HUG,A.1.2.M,0.053,0.008,6.3,38
HUG,A.1.3.M,0.019,0.017,1.1,206
HUG,A.1.4.M,0.06,0.051,1.2,250
HUG,A.1.5.M,0.093,0.171,0.5,108
HUG,A.1.7.M,0.056,0.075,0.8,532
HUG,A.1.8.M,0.021,0.032,0.6,48
HUG,A.1.14.P,0.846,0.629,,509
HUG,A.1.15.P,0.843,0.596,,467
HUG,A.1.16.P,0.875,0.735,,42
HUG,A.1.17.P,0.845,0.6,,468
HUG,A.1.9.P,,,,3
HUG,A.1.10.M,0.08,0.074,1.1,250
HUG,A.1.10.P,0.415,0.414,,250
HUG,A.1.11.M,0.029,0.042,0.7,348
HUG,A.1.13.M,0.214,0.162,1.3,210
HUG,A.2 Insuffisance cardiaque, , , , 
HUG,A.2.1.M,0.066,0.083,0.8,1'478
HUG,A.2.2.M,0,0.011,0,18
HUG,A.2.3.M,0.018,0.027,0.7,110
HUG,A.2.4.M,0.054,0.067,0.8,706
HUG,A.2.5.M,0.089,0.112,0.8,644
HUG,A.2.6.P,0.603,0.568,,352
HUG,A.3 CathEtErisme cardiaque, , , , 
HUG,A.3.1.F,,,,1'180
HUG,A.3.2.M,0.032,0.029,1.1,476
HUG,A.3.4.M,0.019,0.014,1.4,375
HUG,A.3.7.M,0.021,0.014,1.5,332
HUG,A.3.5.M,0.03,0.009,3.3,167
HUG,A.3.5.P,0.294,0.416,,167
HUG,A.3.8.M,0.019,0.007,2.7,155
HUG,A.3.6.F,,,,41
HUG,A.4 Troubles du rythme cardiaque, , , , 
HUG,A.4.1.F,,,,695
HUG,A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG,A.5.1.F,,,,241
HUG,A.5.2.F,,,,49
HUG,A.6 Traitement par ablation, , , , 
HUG,A.6.1.F,,,,252
HUG,A.6.2.F,,,,12
HUG,A.7 OpErations du cúur, , , , 
HUG,A.7.1.F,,,,454
HUG,A.7.2.F,,,,228
HUG,A.7.3.F,,,,95
HUG,A.7.4.F,,,,244
HUG,A.7.5.F,,,,107
HUG,A.7.6.F,,,,159
HUG,A.7.24.F,,,,60
HUG,A.7.7.M,0,0.019,0,22
HUG,A.7.19.M,,,,0
HUG,A.7.20.M,0,0.018,0,22
HUG,A.7.25.M,0,0.013,0,22
HUG,A.7.26.M,,,,0
HUG,A.7.27.M,0,0.042,0,38
HUG,A.7.8.M,0.021,0.03,0.7,48
HUG,A.7.9.M,0.022,0.026,0.8,45
HUG,A.7.10.M,,,,3
HUG,A.7.23.M,0,0.032,0,11
HUG,A.7.11.M,0,0.024,0,22
HUG,A.7.28.M,0,0.014,0,19
HUG,A.7.12.M,0,0.009,0,42
HUG,A.7.13.M,,,,3
HUG,A.7.14.M,0,0.003,0,11
HUG,A.7.15.M,0,0.006,0,17
HUG,A.7.16.M,,,,9
HUG,A.7.17.M,,,,2
HUG,"A.7.29.M OP des vaisseaux coronaires avec autre OP du cúur (‚ge >19), mortalitE",0.067,0.045,1.5,30
HUG,A.7.18.P,,,,6
HUG,A.7.21.P,0,0,,0
HUG,A.7.22.P,0,0.014,,0
HUG,"B Maladies du systËme nerveux, accident vasculaire cErEbral (attaque cErEbrale)", , , , 
HUG,B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG,B.1.1.M,0.084,0.087,1,1'317
HUG,B.1.2.M,0.014,0.034,0.4,72
HUG,B.1.3.M,0.038,0.037,1,290
HUG,B.1.4.M,0.076,0.078,1,620
HUG,B.1.5.M,0.155,0.158,1,335
HUG,"B.1.19.P DP accident vasculaire cErEbral (‚ge >19) avec traitement en unitE cErEbro≠vasculaire, admissions directes, pourcentage",0.495,0.428,,637
HUG,"B.1.20.P DP accident vasculaire cErEbral (‚ge >19) avec traitement en unitE cErEbro≠vasculaire, transfErE d'un autre hÙpital, pourcentage",0.655,0.351,,19
HUG,B.1.7.M,0.063,0.058,1.1,1'053
HUG,B.1.8.M,0.063,0.059,1.1,1'035
HUG,B.1.13.M,0.056,0.052,1.1,18
HUG,B.1.16.P,0.066,0.04,,68
HUG,B.1.17.P,,,,1
HUG,B.1.9.M,0.086,0.069,1.3,116
HUG,B.1.9.P,0.11,0.134,,116
HUG,B.1.18.M,0.095,0.099,1,84
HUG,B.1.18.P,0.08,0.063,,84
HUG,B.1.14.M,0.246,0.226,1.1,114
HUG,B.1.14.P,0.108,0.074,,114
HUG,B.1.10.M,0.222,0.255,0.9,167
HUG,B.1.11.M,0.085,0.131,0.7,94
HUG,B.1.12.M,,,,3
HUG,B.1.12.P,,,,3
HUG,B.2 Accident ischEmique transitoire (AIT), , , , 
HUG,B.2.1.M,0,0.002,0,248
HUG,B.2.2.P,0.617,0.347,,153
HUG,B.3 Tumeurs malignes de l'encEphale ou des mEninges cErEbrales, , , , 
HUG,B.3.1.F,,,,132
HUG,B.3.2.M,0.05,0.017,3,40
HUG,B.4 Epilepsie, , , , 
HUG,B.4.1.F,,,,336
HUG,B.4.2.F,,,,53
HUG,B.5 SclErose en plaques, , , , 
HUG,B.5.1.F,,,,46
HUG,C MEdecine gEriatrique, , , , 
HUG,C.1 REEducation gEriatrique prEcoce, , , , 
HUG,C.1.1.F,,,,437
HUG,C.1.2.P,0,0.654,,0
HUG,C.1.3.S,,,,0
HUG,C.1.4.P,0.92,0.231,,402
HUG,C.1.5.S,44.9,,,402
HUG,C.2 Malnutrition des personnes ‚gEes, , , , 
HUG,C.2.1.P,0.019,0.016,,381
HUG,C.2.2.P,0.155,0.104,,59
HUG,D Maladies pulmonaires, , , , 
HUG,D.1 Pneumonie, , , , 
HUG,D.1.1.M,0.045,0.064,0.7,1'495
HUG,D.1.2.M,0,0.004,0,62
HUG,D.1.3.M,0.011,0.007,1.7,88
HUG,D.1.4.M,0.016,0.025,0.6,186
HUG,D.1.5.M,0.041,0.055,0.8,655
HUG,D.1.6.M,0.073,0.109,0.7,504
HUG,D.1.7.M,0,0.002,0,49
HUG,D.1.8.M,0.024,0.049,0.5,1'064
HUG,D.1.9.M,0,0.004,0,65
HUG,D.1.10.M,0,0.01,0,138
HUG,D.1.11.M,0.013,0.033,0.4,467
HUG,D.1.12.M,0.051,0.09,0.6,394
HUG,D.1.13.M,0.179,0.189,0.9,151
HUG,D.2 Broncho≠pneumopathie chronique obstructive (BPCO), , , , 
HUG,D.2.1.M,0.033,0.039,0.8,399
HUG,D.2.2.M,0.046,0.063,0.7,131
HUG,D.2.3.M,0.022,0.032,0.7,91
HUG,D.2.4.M,0.016,0.014,1.1,61
HUG,D.2.5.M,0,0.007,0,18
HUG,D.2.6.M,0.041,0.044,0.9,98
HUG,D.2.6.P,0.246,0.213,,98
HUG,D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG,D.3.1.F,,,,452
HUG,D.4 OpErations du poumon, , , , 
HUG,D.4.1.M,0.025,0.017,1.5,119
HUG,D.4.2.M,,,,3
HUG,D.4.2.P,,,,3
HUG,D.4.3.M,0.018,0.011,1.6,56
HUG,D.4.4.P,0,0.071,,0
HUG,D.4.5.M,0.053,0.049,1.1,19
HUG,E Maladies des organes abdominaux, , , , 
HUG,E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG,E.1.1.M,0,0.002,0,456
HUG,E.1.2.P,0.971,0.967,,443
HUG,E.2 REparations de hernie, , , , 
HUG,E.2.1.M,0,0.001,0,558
HUG,E.2.2.M,,,,9
HUG,E.2.3.P,,,,1
HUG,E.2.4.P,0.981,0.98,,313
HUG,E.3 OpErations de la thyroÔde, , , , 
HUG,E.3.1.F,,,,239
HUG,E.3.2.P,0,0.004,,0
HUG,E.3.4.F,,,,90
HUG,E.3.5.F,,,,128
HUG,E.3.3.F,,,,52
HUG,E.4 Maladies du cÙlon et du rectum, , , , 
HUG,E.4.11.F,,,,289
HUG,E.4.12.F,,,,235
HUG,E.4.1.M,0.03,0.047,0.6,303
HUG,E.4.2.M,0.012,0.024,0.5,80
HUG,E.4.3.M,,,,7
HUG,E.4.4.M,0,0.015,0,28
HUG,E.4.5.M,0,0.004,0,24
HUG,E.4.6.M,0,0.043,0,38
HUG,E.4.7.M,0.2,0.319,0.6,20
HUG,E.4.13.M,0,0,,15
