hospital_indicator,observed_rate_2008,expected_rate_2008,SMR_2008,number_of_cases_2008
HUG A Maladies cardiaques, , , , 
HUG A.1 Infarctus du myocarde, , , , 
HUG A.1.1.M,0.072,0.07,1,526
HUG A.1.2.M,0.024,0.012,2.1,41
HUG A.1.3.M,0.045,0.024,1.9,199
HUG A.1.4.M,0.106,0.077,1.4,218
HUG A.1.5.M,0.074,0.221,0.3,68
HUG A.1.6.P,0.863,0.515,,454
HUG A.1.7.M,0.078,0.095,0.8,438
HUG A.1.8.M,0.105,0.043,2.5,38
HUG A.1.9.P,0.053,0.071,,28
HUG A.1.10.M,0.083,0.065,1.3,278
HUG A.1.11.M,0.05,0.053,0.9,219
HUG A.2 Insuffisance cardiaque, , , , 
HUG A.2.1.M,0.03,0.088,0.3,525
HUG A.2.2.M,,,,<10
HUG A.2.3.M,0,0.034,0,66
HUG A.2.4.M,0.029,0.08,0.4,307
HUG A.2.5.M,0.048,0.131,0.4,147
HUG A.3 CathEtErisme cardiaque gauche (CCG), , , , 
HUG A.3.1.F,,,,1'272
HUG A.3.2.M,0.052,0.038,1.4,439
HUG A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19) mortalitE,0.19,0.094,2,84
HUG A.3.4.M,0.014,0.006,2.6,631
HUG A.3.5.P,0.323,0.382,,204
HUG A.3.6.F,,,,51
HUG A.4 Troubles du rythme cardiaque, , , , 
HUG A.4.1.F,,,,601
HUG A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG A.5.1.F,,,,243
HUG A.5.2.F,,,,42
HUG A.6 Traitement par ablation, , , , 
HUG A.6.1.F,,,,241
HUG A.6.2.F,,,,27
HUG A.7 OpErations du cúur, , , , 
HUG A.7.1.F,,,,405
HUG A.7.2.F,,,,212
HUG A.7.3.F,,,,110
HUG A.7.4.F,,,,166
HUG A.7.5.F,,,,82
HUG A.7.6.F,,,,131
HUG A.7.7.M,0.067,0.038,1.8,75
HUG A.7.11.M,,,,<10
HUG A.7.12.M,0.029,0.012,2.4,70
HUG A.7.13.M,,,,<10
HUG A.7.14.M,0,0.003,0,12
HUG A.7.15.M,0.05,0.011,4.7,20
HUG A.7.16.M,0.037,0.021,1.8,27
HUG A.7.17.M,,,,<10
HUG A.7.18.P,,,,<10
HUG B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG B.1.1.M,0.109,0.115,1,724
HUG B.1.2.M,0.048,0.054,0.9,63
HUG B.1.3.M,0.098,0.063,1.6,205
HUG B.1.4.M,0.105,0.121,0.9,352
HUG B.1.5.M,0.183,0.232,0.8,104
HUG B.1.6.P,...,...,,...
HUG B.1.7.M,0.055,0.079,0.7,453
HUG B.1.8.M,0.051,0.079,0.6,415
HUG B.1.9.P,0.113,0.078,,51
HUG B.1.9.M,0.098,0.099,1,51
HUG B.1.10.M,0.263,0.291,0.9,118
HUG B.1.11.M,0.195,0.137,1.4,113
HUG B.1.12.P,0.055,0.157,,40
HUG B.1.12.M,0.025,0.079,0.3,40
HUG B.2 Accident ischEmique transitoire (AIT), , , , 
HUG B.2.1.M,0,0.003,0,111
HUG B.2.2.P,...,...,,...
HUG C REEducation gEriatrique prEcoce, , , , 
HUG C.1 REEducation gEriatrique prEcoce, , , , 
HUG C.1.1.F,,,,...
HUG D Maladies pulmonaires, , , , 
HUG D.1 Pneumonie, , , , 
HUG D.1.1.M,0.02,0.057,0.4,595
HUG D.1.2.M,0,0.003,0,70
HUG D.1.3.M,0,0.008,0,54
HUG D.1.4.M,0.014,0.039,0.4,138
HUG D.1.5.M,0.032,0.072,0.4,253
HUG D.1.6.M,0.025,0.125,0.2,80
HUG D.1.7.M,0,0.003,0,62
HUG D.1.8.M,0.012,0.052,0.2,424
HUG D.2 Broncho-pneumopathie chronique obstructive (BPCO), , , , 
HUG D.2.1.M,0.009,0.04,0.2,111
HUG D.2.2.M,...,...,...,...
HUG D.2.3.M,...,...,...,...
HUG D.2.4.M,...,...,...,...
HUG D.2.5.M,...,...,...,...
HUG D.2.6.P,...,...,,...
HUG D.2.6.M,...,...,...,...
HUG D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG D.3.1.F,,,,419
HUG D.4 OpErations du poumon, , , , 
HUG D.4.1.M,0.056,0.033,1.7,108
HUG D.4.2.P,0.19,0.136,,12
HUG D.4.2.M,0,0.072,0,12
HUG D.4.3.M,0.059,0.03,1.9,51
HUG E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
HUG E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG E.1.1.M,0.002,0.003,0.8,436
HUG E.1.2.P,0.897,0.92,,391
HUG E.2 REparations de hernie, , , , 
HUG E.2.1.M,0.005,0.001,4.4,594
HUG E.2.2.M,,,,<10
HUG E.3 OpErations de la thyroÔde, , , , 
HUG E.3.1.F,,,,180
HUG E.3.2.P,,,,<10
HUG E.3.3.F,,,,...
HUG E.4 OpErations majeures du cÙlon et du rectum (opErations colorectales), , , , 
HUG E.4.1.M,0.073,0.052,1.4,316
HUG E.4.2.M,0.027,0.054,0.5,75
HUG E.4.3.M,0.2,0.143,1.4,10
HUG E.4.4.M,0,0.031,0,43
HUG E.4.5.M,0,0,0,33
HUG E.4.6.M,0.061,0.074,0.8,33
HUG E.4.7.M,0.444,0.267,1.7,18
HUG E.4.8.F,,,,103
HUG E.4.9.F Interventions colorectales locales pour cancer colorectal,,,,10
HUG E.4.10.F Interventions colorectales locales affection autre que cancer colorectal,,,,124
HUG E.5 OpErations de l'estomac, , , , 
HUG E.5.1.F,,,,57
HUG E.5.2.M,0.037,0.039,0.9,27
HUG E.5.3.M,,,,<10
HUG E.6 OpErations de líúsophage, , , , 
HUG E.6.1.M,0.143,0.032,4.5,14
HUG E.7 OpErations du pancrEas, , , , 
HUG E.7.1.M,0.027,0.044,0.6,37
HUG F OpErations de vaisseaux, , , , 
HUG F.1 OpErations des vaisseaux extra≠cr‚niens, , , , 
HUG F.1.1.M,0,0.003,0,41
HUG F.1.2.M,0.027,0.02,1.4,37
HUG F.1.3.F,,,,<10
HUG F.2 OpErations en cas de dilatation de l'aorte (anEvrisme de l'aorte), , , , 
HUG F.2.1.F,,,,42
HUG F.2.2.M,0,0.029,0,21
HUG F.2.3.M,,,,<10
HUG F.2.4.F,,,,<10
HUG F.2.5.M,0.867,0.451,1.9,15
HUG F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG F.3.1.F,,,,56
HUG F.3.2.M,...,...,...,...
HUG F.3.3.M,...,...,...,...
HUG F.3.4.M,...,...,...,...
HUG F.3.5.M,0.1,0.051,2,10
HUG F.3.6.M,,,,<10
HUG F.3.7.M,0,0.045,0,10
HUG F.3.8.F,,,,<10
HUG F.3.9.F,,,,28
HUG F.4 Amputations, , , , 
HUG F.4.1.M,0.042,0.019,2.2,48
HUG F.4.2.M,0.182,0.138,1.3,33
HUG G GynEcologie et obstEtrique, , , , 
HUG G.1 Accouchements, , , , 
HUG G.1.1.F,,,,3'811
HUG G.1.1.P,0,0,,0
HUG G.1.2.P,0.029,0.028,,80
HUG G.1.3.P,0.149,0.291,,416
HUG G.1.4.P,0.266,0.328,,1'013
HUG G.2 Nouveau≠nEs, , , , 
HUG G.2.1.F,,,,...
HUG G.2.2.F,,,,...
HUG G.2.3.F,,,,...
HUG G.2.4.F,,,,...
HUG G.2.5.F,,,,...
HUG G.2.6.F,,,,...
HUG G.2.7.F,,,,...
HUG G.2.8.F,,,,...
HUG G.2.9.F,,,,...
HUG G.3 Ablation de líutErus pour affections bEnignes (hystErectomie), , , , 
HUG G.3.1.M,0,0,0,211
HUG G.3.2.P,0.761,0.707,,150
HUG G.4 Cancer du sein, , , , 
HUG G.4.1.F,,,,335
HUG G.5 Interventions du sein, , , , 
HUG G.5.1.F,,,,360
HUG G.5.2.F,,,,200
HUG G.5.3.P,0.68,0.647,,136
HUG H Maladies des voies urinaires et des organes gEnitaux masculins, , , , 
HUG H.1 Ablation du rein (nEphrectomie et nEphrectomie partielle), , , , 
HUG H.1.1.M,0.032,0.013,2.5,62
HUG H.1.2.P,0.403,0.242,,25
HUG H.1.3.P NEphrectomie partielle pourcentage,0.173,0.22,,13
HUG H.1.3.M,0,0.013,0,13
HUG H.1.4.P,,,,<10
HUG H.2 Calculs rEnaux, , , , 
HUG H.2.1.F,,,,323
HUG H.2.2.P,0.74,0.43,,239
