hospital_name,indicator,observed_rate_2012,expected_rate_2012,SMR_2012,number_of_cases_2012
HUG,A Maladies cardiaques, , , , 
HUG,A.1 Infarctus du myocarde, , , , 
HUG,A.1.1.M,0.077,0.062,1.3,492
HUG,A.1.2.M,0.037,0.016,2.4,27
HUG,A.1.3.M,0.028,0.021,1.3,181
HUG,A.1.4.M,0.091,0.058,1.6,220
HUG,A.1.5.M,0.188,0.208,0.9,64
HUG,A.1.6.P,0.864,0.595,,425
HUG,A.1.7.M,0.075,0.079,1,464
HUG,A.1.8.M,0.125,0.05,2.5,24
HUG,A.1.9.P,0.039,0.024,,19
HUG,A.1.10.M,0.083,0.065,1.3,206
HUG,A.1.11.M,0.049,0.045,1.1,266
HUG,A.2 Insuffisance cardiaque, , , , 
HUG,A.2.1.M,0.058,0.089,0.7,740
HUG,A.2.2.M,,,,<10
HUG,A.2.3.M,0.023,0.037,0.6,87
HUG,A.2.4.M,0.036,0.072,0.5,363
HUG,A.2.5.M,0.099,0.129,0.8,284
HUG,A.3 CathEtErisme cardiaque gauche (CCG), , , , 
HUG,A.3.1.F,,,,1'118
HUG,A.3.2.M,0.066,0.039,1.7,409
HUG,"A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19), mortalitE",0.176,0.128,1.4,74
HUG,A.3.4.M,0.019,0.008,2.4,528
HUG,A.3.5.P,0.32,0.377,,169
HUG,A.3.6.F,,,,31
HUG,A.4 Troubles du rythme cardiaque, , , , 
HUG,A.4.1.F,,,,568
HUG,A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG,A.5.1.F,,,,187
HUG,A.5.2.F,,,,49
HUG,A.6 Traitement par ablation, , , , 
HUG,A.6.1.F,,,,211
HUG,A.6.2.F,,,,19
HUG,A.7 OpErations du cúur, , , , 
HUG,A.7.1.F,,,,378
HUG,A.7.2.F,,,,192
HUG,A.7.3.F,,,,84
HUG,A.7.4.F,,,,178
HUG,A.7.5.F,,,,71
HUG,A.7.6.F,,,,129
HUG,A.7.7.M,0,0.026,0,44
HUG,A.7.8.M,0.083,0.044,1.9,24
HUG,A.7.9.M,0.095,0.038,2.5,21
HUG,A.7.10.M,,,,<10
HUG,A.7.11.M,0,0.028,0,14
HUG,A.7.12.M,0,0.01,0,46
HUG,A.7.13.M,,,,0
HUG,A.7.14.M,,,,<10
HUG,A.7.15.M,0,0.006,0,19
HUG,A.7.16.M,0,0.017,0,17
HUG,A.7.17.M,,,,<10
HUG,A.7.18.P,,,,<10
HUG,B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG,B.1.1.M,0.095,0.103,0.9,1'097
HUG,B.1.2.M,0.043,0.037,1.2,70
HUG,B.1.3.M,0.066,0.048,1.4,259
HUG,B.1.4.M,0.079,0.092,0.9,517
HUG,B.1.5.M,0.171,0.201,0.9,251
HUG,B.1.6.P,0.415,0.176,,455
HUG,B.1.7.M,0.05,0.074,0.7,787
HUG,B.1.8.M,0.046,0.07,0.7,589
HUG,B.1.9.P,0.051,0.106,,40
HUG,B.1.9.M,0.05,0.069,0.7,40
HUG,B.1.10.M,0.237,0.23,1,135
HUG,B.1.11.M,0.163,0.127,1.3,104
HUG,B.1.12.P,0.065,0.08,,71
HUG,B.1.12.M,0.225,0.118,1.9,71
HUG,B.2 Accident ischEmique transitoire (AIT), , , , 
HUG,B.2.1.M,0.008,0.004,1.9,131
HUG,B.2.2.P,0.298,0.088,,39
HUG,C REEducation gEriatrique prEcoce, , , , 
HUG,C.1 REEducation gEriatrique prEcoce, , , , 
HUG,C.1.1.F,,,,0
HUG,C.1.2.P,,,,0
HUG,C.1.3.S,,,,0
HUG,D Maladies pulmonaires, , , , 
HUG,D.1 Pneumonie, , , , 
HUG,D.1.1.M,0.054,0.059,0.9,1'034
HUG,D.1.2.M,0,0.001,0,94
HUG,D.1.3.M,0,0.008,0,53
HUG,D.1.4.M,0.014,0.037,0.4,139
HUG,D.1.5.M,0.057,0.057,1,476
HUG,D.1.6.M,0.099,0.103,1,272
HUG,D.1.7.M,0,0.001,0,84
HUG,D.1.8.M,0.014,0.051,0.3,627
HUG,D.2 Broncho-pneumopathie chronique obstructive (BPCO), , , , 
HUG,D.2.1.M,0.012,0.042,0.3,256
HUG,D.2.2.M,0.016,0.075,0.2,63
HUG,D.2.3.M,0.035,0.034,1,57
HUG,D.2.4.M,0,0.016,0,24
HUG,D.2.5.M,0,0.029,0,13
HUG,D.2.6.P,0.367,0.292,,94
HUG,D.2.6.M,0,0.036,0,94
HUG,D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG,D.3.1.F,,,,622
HUG,D.4 OpErations du poumon, , , , 
HUG,D.4.1.M,0.016,0.014,1.1,129
HUG,D.4.2.P,,,,<10
HUG,D.4.2.M,,,,<10
HUG,D.4.3.M,0.015,0.011,1.3,68
HUG,D.4.4.P,,,,<10
HUG,E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
HUG,E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG,E.1.1.M,0.003,0.003,0.9,396
HUG,E.1.2.P,0.899,0.945,,356
HUG,E.2 REparations de hernie, , , , 
HUG,E.2.1.M,0.007,0.002,4.2,460
HUG,E.2.2.M,0,0.09,0,16
HUG,E.3 OpErations de la thyroÔde, , , , 
HUG,E.3.1.F,,,,275
HUG,E.3.2.P,0,0.003,,0
HUG,E.3.3.F,,,,85
HUG,E.4 OpErations majeures du cÙlon et du rectum (opErations colorectales), , , , 
HUG,E.4.1.M,0.051,0.054,0.9,314
HUG,E.4.2.M,0.025,0.039,0.6,81
HUG,E.4.3.M,,,,<10
HUG,E.4.4.M,0,0.036,0,42
HUG,E.4.5.M,0,0.008,0,35
HUG,E.4.6.M,0.059,0.052,1.1,34
HUG,E.4.7.M,0.304,0.357,0.9,23
HUG,E.4.8.F,,,,93
HUG,E.4.9.F Interventions colorectales locales pour cancer colorectal,,,,10
HUG,"E.4.10.F Interventions colorectales locales, affection autre que cancer colorectal",,,,181
HUG,E.5 OpErations de l'estomac, , , , 
HUG,E.5.1.F,,,,38
HUG,E.5.2.M,0,0.024,0,14
HUG,E.5.3.M,,,,<10
HUG,E.6 OpErations de líúsophage, , , , 
HUG,E.6.1.M,0,0.026,0,11
HUG,E.7 OpErations du pancrEas, , , , 
HUG,E.7.1.M,0.058,0.064,0.9,52
HUG,F OpErations de vaisseaux, , , , 
HUG,F.1 OpErations des vaisseaux extra≠cr‚niens, , , , 
HUG,F.1.1.M,0,0.01,0,48
HUG,F.1.2.M,0.022,0.021,1,46
HUG,F.1.3.F,,,,<10
HUG,F.2 OpErations en cas de dilatation de l'aorte (anEvrisme de l'aorte), , , , 
HUG,F.2.1.F,,,,70
HUG,F.2.2.M,0,0.042,0,10
HUG,F.2.3.M,0,0.021,0,18
HUG,F.2.4.F,,,,25
HUG,F.2.5.M,0.222,0.312,0.7,18
HUG,F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG,F.3.1.F,,,,100
HUG,F.3.2.M,0,0.017,0,17
HUG,F.3.3.M,,,,<10
HUG,F.3.4.M,,,,<10
HUG,F.3.5.M,0.062,0.059,1.1,32
HUG,F.3.6.M,,,,<10
HUG,F.3.7.M,0,0.007,0,14
HUG,F.3.8.F,,,,<10
HUG,F.3.9.F,,,,14
HUG,F.4 Amputations, , , , 
HUG,F.4.1.M,0,0.02,0,37
HUG,F.4.2.M,0.038,0.108,0.4,26
HUG,F.5 Angioplasties transluminales percutanEes (ATP), , , , 
HUG,F.5.1.F,,,,205
HUG,F.5.2.F,,,,36
HUG,F.5.3.F,,,,14
HUG,G GynEcologie et obstEtrique, , , , 
HUG,G.1 Accouchements, , , , 
HUG,G.1.1.F,,,,3'895
HUG,G.1.1.P,,,,<10
HUG,G.1.2.P,0.02,0.031,,56
HUG,G.1.3.P,0.145,0.246,,414
HUG,G.1.4.P,0.268,0.331,,1'044
HUG,G.2 Nouveau≠nEs, , , , 
HUG,G.2.1.F,,,,81
HUG,G.2.2.F,,,,<10
HUG,G.2.3.F,,,,<10
HUG,G.2.4.F,,,,24
HUG,G.2.5.F,,,,23
HUG,G.2.6.F,,,,28
HUG,G.2.7.F,,,,40
HUG,G.2.8.F,,,,336
HUG,G.2.9.F,,,,3'735
HUG,G.3 Ablation de líutErus pour affections bEnignes (hystErectomie), , , , 
HUG,G.3.1.M,0,0,0,211
