hospital_indicator,observed_rate_2011,expected_rate_2011,SMR_2011,number_of_cases_2011
HUG A Maladies cardiaques, , , , 
HUG A.1 Infarctus du myocarde, , , , 
HUG A.1.1.M,0.059,0.06,1,508
HUG A.1.2.M,0,0.013,0,24
HUG A.1.3.M,0.01,0.017,0.6,192
HUG A.1.4.M,0.077,0.058,1.3,209
HUG A.1.5.M,0.145,0.178,0.8,83
HUG A.1.6.P,0.829,0.557,,421
HUG A.1.7.M,0.062,0.082,0.8,432
HUG A.1.8.M,0.062,0.041,1.5,48
HUG A.1.9.P,0.061,0.036,,31
HUG A.1.10.M,0.073,0.063,1.2,206
HUG A.1.11.M,0.026,0.037,0.7,270
HUG A.2 Insuffisance cardiaque, , , , 
HUG A.2.1.M,0.043,0.082,0.5,644
HUG A.2.2.M,0,0.049,0,10
HUG A.2.3.M,0,0.028,0,88
HUG A.2.4.M,0.039,0.074,0.5,359
HUG A.2.5.M,0.075,0.124,0.6,187
HUG A.3 CathEtErisme cardiaque gauche (CCG), , , , 
HUG A.3.1.F,,,,1'180
HUG A.3.2.M,0.037,0.032,1.2,404
"HUG A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19), mortalitE",0.2,0.102,2,55
HUG A.3.4.M,0.016,0.006,2.8,612
HUG A.3.5.P,0.353,0.387,,216
HUG A.3.6.F,,,,33
HUG A.4 Troubles du rythme cardiaque, , , , 
HUG A.4.1.F,,,,721
HUG A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG A.5.1.F,,,,226
HUG A.5.2.F,,,,50
HUG A.6 Traitement par ablation, , , , 
HUG A.6.1.F,,,,307
HUG A.6.2.F,,,,16
HUG A.7 OpErations du cúur, , , , 
HUG A.7.1.F,,,,402
HUG A.7.2.F,,,,199
HUG A.7.3.F,,,,98
HUG A.7.4.F,,,,173
HUG A.7.5.F,,,,68
HUG A.7.6.F,,,,130
HUG A.7.7.M,0,0.026,0,55
HUG A.7.8.M,0,0.056,0,24
HUG A.7.9.M,0,0.043,0,22
HUG A.7.10.M,,,,<10
HUG A.7.11.M,0.071,0.058,1.2,14
HUG A.7.12.M,0.087,0.014,6.1,46
HUG A.7.13.M,,,,<10
HUG A.7.14.M,,,,<10
HUG A.7.15.M,0.067,0.006,11.1,15
HUG A.7.16.M,0.133,0.025,5.3,15
HUG A.7.17.M,,,,<10
HUG A.7.18.P,,,,<10
HUG B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG B.1.1.M,0.079,0.102,0.8,1'012
HUG B.1.2.M,0.038,0.039,1,80
HUG B.1.3.M,0.065,0.052,1.2,248
HUG B.1.4.M,0.073,0.098,0.7,465
HUG B.1.5.M,0.123,0.191,0.6,219
HUG B.1.6.P,0.403,0.109,,408
HUG B.1.7.M,0.045,0.071,0.6,671
HUG B.1.8.M,0.038,0.071,0.5,443
HUG B.1.9.P,0.051,0.108,,34
HUG B.1.9.M,0,0.1,0,34
HUG B.1.10.M,0.139,0.241,0.6,187
HUG B.1.11.M,0.14,0.134,1.1,114
HUG B.1.12.P,0.04,0.1,,40
HUG B.1.12.M,0.2,0.088,2.3,40
HUG B.2 Accident ischEmique transitoire (AIT), , , , 
HUG B.2.1.M,0.015,0.006,2.4,134
HUG B.2.2.P,,,,<10
HUG C REEducation gEriatrique prEcoce, , , , 
HUG C.1 REEducation gEriatrique prEcoce, , , , 
HUG C.1.1.F,,,,0
HUG C.1.2.P,,,,0
HUG C.1.3.S,,,,0
HUG D Maladies pulmonaires, , , , 
HUG D.1 Pneumonie, , , , 
HUG D.1.1.M,0.066,0.066,1,1'202
HUG D.1.2.M,0.01,0.003,2.9,99
HUG D.1.3.M,0.016,0.005,3.2,64
HUG D.1.4.M,0.059,0.031,1.9,170
HUG D.1.5.M,0.062,0.064,1,535
HUG D.1.6.M,0.102,0.118,0.9,334
HUG D.1.7.M,0.012,0.004,2.9,82
HUG D.1.8.M,0.033,0.053,0.6,657
HUG D.2 Broncho-pneumopathie chronique obstructive (BPCO), , , , 
HUG D.2.1.M,0.06,0.037,1.6,166
HUG D.2.2.M,0,0.06,0,32
HUG D.2.3.M,0.026,0.036,0.7,39
HUG D.2.4.M,0,0.016,0,22
HUG D.2.5.M,,,,<10
HUG D.2.6.P,0.289,0.369,,48
HUG D.2.6.M,0.042,0.028,1.5,48
HUG D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG D.3.1.F,,,,731
HUG D.4 OpErations du poumon, , , , 
HUG D.4.1.M,0.026,0.024,1.1,117
HUG D.4.2.P,,,,<10
HUG D.4.2.M,,,,<10
HUG D.4.3.M,0.042,0.02,2.1,48
HUG D.4.4.P,,,,<10
HUG E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
HUG E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG E.1.1.M,0,0.003,0,419
HUG E.1.2.P,0.928,0.935,,389
HUG E.2 REparations de hernie, , , , 
HUG E.2.1.M,0.002,0.002,1.3,494
HUG E.2.2.M,0.062,0.061,1,16
HUG E.3 OpErations de la thyroÔde, , , , 
HUG E.3.1.F,,,,213
HUG E.3.2.P,,,,<10
HUG E.3.3.F,,,,80
HUG E.4 OpErations majeures du cÙlon et du rectum (opErations colorectales), , , , 
HUG E.4.1.M,0.053,0.06,0.9,304
HUG E.4.2.M,0.023,0.035,0.6,88
HUG E.4.3.M,0.059,0.103,0.6,17
HUG E.4.4.M,0,0.023,0,33
HUG E.4.5.M,0,0.014,0,34
HUG E.4.6.M,0.087,0.146,0.6,23
HUG E.4.7.M,0.389,0.338,1.1,18
HUG E.4.8.F,,,,90
HUG E.4.9.F Interventions colorectales locales pour cancer colorectal,,,,11
"HUG E.4.10.F Interventions colorectales locales, affection autre que cancer colorectal",,,,205
HUG E.5 OpErations de l'estomac, , , , 
HUG E.5.1.F,,,,46
HUG E.5.2.M,0.091,0.031,2.9,22
HUG E.5.3.M,,,,<10
HUG E.6 OpErations de líúsophage, , , , 
HUG E.6.1.M,0.083,0.051,1.6,12
HUG E.7 OpErations du pancrEas, , , , 
HUG E.7.1.M,0.054,0.068,0.8,37
HUG F OpErations de vaisseaux, , , , 
HUG F.1 OpErations des vaisseaux extra≠cr‚niens, , , , 
HUG F.1.1.M,0,0.003,0,47
HUG F.1.2.M,0.103,0.051,2,39
HUG F.1.3.F,,,,<10
HUG F.2 OpErations en cas de dilatation de l'aorte (anEvrisme de l'aorte), , , , 
HUG F.2.1.F,,,,77
HUG F.2.2.M,0.062,0.027,2.3,16
HUG F.2.3.M,0,0.011,0,15
HUG F.2.4.F,,,,37
HUG F.2.5.M,0.235,0.362,0.7,17
HUG F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG F.3.1.F,,,,104
HUG F.3.2.M,0,0.005,0,26
HUG F.3.3.M,,,,<10
HUG F.3.4.M,0.067,0.036,1.9,15
HUG F.3.5.M,0.211,0.067,3.1,19
HUG F.3.6.M,,,,<10
HUG F.3.7.M,,,,<10
HUG F.3.8.F,,,,<10
HUG F.3.9.F,,,,16
HUG F.4 Amputations, , , , 
HUG F.4.1.M,0,0.029,0,38
HUG F.4.2.M,0.091,0.137,0.7,33
HUG F.5 Angioplasties transluminales percutanEes (ATP), , , , 
HUG F.5.1.F,,,,188
HUG F.5.2.F,,,,25
HUG F.5.3.F,,,,<10
HUG G GynEcologie et obstEtrique, , , , 
HUG G.1 Accouchements, , , , 
HUG G.1.1.F,,,,3'857
HUG G.1.1.P,0,0,,0
HUG G.1.2.P,0.022,0.031,,62
HUG G.1.3.P,0.136,0.264,,382
HUG G.1.4.P,0.27,0.33,,1'043
HUG G.2 Nouveau≠nEs, , , , 
HUG G.2.1.F,,,,58
HUG G.2.2.F,,,,10
HUG G.2.3.F,,,,<10
HUG G.2.4.F,,,,10
HUG G.2.5.F,,,,12
HUG G.2.6.F,,,,27
HUG G.2.7.F,,,,32
HUG G.2.8.F,,,,316
HUG G.2.9.F,,,,3'739
HUG G.3 Ablation de líutErus pour affections bEnignes (hystErectomie), , , , 
HUG G.3.1.M,0.004,0.001,6,230
HUG G.3.2.P,0.792,0.743,,175
HUG G.4 Cancer du sein, , , , 
HUG G.4.1.F,,,,564
HUG G.5 Interventions du sein, , , , 
HUG G.5.1.F,,,,449
HUG G.5.2.F,,,,264
HUG G.5.3.P,0.777,0.714,,205
HUG H Maladies des voies urinaires et des organes gEnitaux masculins, , , , 
